filename,text
sample-0.wav,without the dataset the article is useless
sample-1.wav,i've got to go to him
sample-2.wav,and you know it
sample-3.wav,down below in the darkness were hundreds of people sleeping in peace
sample-4.wav,hold your nose to keep the smell from disabling your motor functions
sample-5.wav,down below in the darkness were hundreds of people sleeping in peace
sample-6.wav,strange images passed through my mind
sample-7.wav,the sheep had taught him that
sample-8.wav,this was the strangest of all things that ever came to earth from outer space
sample-9.wav,it was glaringly hot not a cloud in the sky nor a breath of wind
sample-10.wav,your son went to serve at a distant place and became a centurion
sample-11.wav,they made the boy continue digging but he found nothing
sample-12.wav,one can imagine these two covered with sand running up the little street in the bright sunlight
sample-13.wav,the shower's in there
sample-14.wav,follow the instructions here
sample-15.wav,they're calling to us not to give up and to keep on fighting
sample-16.wav,the shop is closed on mondays
sample-17.wav,even coming down on the train together she wrote me
sample-18.wav,i'm going away he said
sample-19.wav,it must have fallen while i was sitting over there
sample-20.wav,i'm going into the desert the man answered turning back to his reading
sample-21.wav,he wasn't asking for help
sample-22.wav,some of the grey ash was falling off the circular edge
sample-23.wav,everyone when they are young knows what their destiny is
sample-24.wav,i'd like to think
sample-25.wav,the alchemist probably already knew all that
sample-26.wav,you'll take fifty and like it
sample-27.wav,it was dropping off in flakes and raining down on the sand
sample-28.wav,what's your name he asked
sample-29.wav,it's because you were not born
sample-30.wav,what do you think of that
sample-31.wav,if i had told you you wouldn't have seen the pyramids
sample-32.wav,i haven't heard the baby complain yet
sample-33.wav,i told him we could teach her to ignore people who waste her time
sample-34.wav,the one you're blocking
sample-35.wav,henderson stood up with a spade in his hand
sample-36.wav,he didn't need to seek out the old woman for this
sample-37.wav,only a minority of literature is written this way
sample-38.wav,i wish you wouldn't
sample-39.wav,nature knows me as the wisest being in creation the sun said
sample-40.wav,there is only one way to learn the alchemist answered
sample-41.wav,don't do it for me
sample-42.wav,i'm not working for any other paper
sample-43.wav,that's not so bad
sample-44.wav,i have the diet of a kid who found twenty dollars
sample-45.wav,i have the money i need to buy my sheep
sample-46.wav,the boy looked out at the horizon
sample-47.wav,never mind about that
sample-48.wav,that night there was another jetting out of gas from the distant planet
sample-49.wav,most of them were staring quietly at the big table
sample-50.wav,i make my living forecasting the future for people he said
sample-51.wav,now i will drift gently off to dreamland
sample-52.wav,he did find it soon after dawn and not far from the sand pits
sample-53.wav,of course the two were unable to do anything
sample-54.wav,all they think about is food and water
sample-55.wav,shakespeare never said that
sample-56.wav,you need to see this
sample-57.wav,the boy knew a lot of people in the city
sample-58.wav,frank was dying so they were forced to leave him
sample-59.wav,this is no place for you
sample-60.wav,the boy reminded the old man that he had said something about hidden treasure
sample-61.wav,mr brad cables you need cash
sample-62.wav,wait for the end of the war
sample-63.wav,henderson was taking it in
sample-64.wav,it seemed he had made the long journey for nothing
sample-65.wav,you're looking for witch doctors he spoke some verses from the koran and moved on
sample-66.wav,the time must have been somewhere around six o'clock
sample-67.wav,if a person is living out his destiny he knows everything he needs to know
sample-68.wav,the flock of flamingos landed gracefully on their awkward looking legs
sample-69.wav,the boy was sad as he left her that day
sample-70.wav,she went over to the hospital to call on professor davis
sample-71.wav,they were fascinating stories each of them lived out his destiny to the end
sample-72.wav,the charcoal burned away to white ash
sample-73.wav,the greatest authority on meteorites stated that the height of its first appearance was about ninety or one hundred miles
sample-74.wav,what if you can't stand him
sample-75.wav,i thought about the difficulties in translation that might arise
sample-76.wav,he didn't need to demonstrate his science and art to anyone
sample-77.wav,it was faintly marked with transverse stripes and slightly flattened from the perfect round
sample-78.wav,but you don't know about love
sample-79.wav,but then he remembered that he wasn't going to have to pay anything
sample-80.wav,why do you want to find that sort of person the arab asked
sample-81.wav,the shop is exactly the size i always wanted it to be
sample-82.wav,how do you handle the negative weights
sample-83.wav,i just don't trust anyone who says they've never had hamburger helper
sample-84.wav,and also by unhappiness envy and jealousy
sample-85.wav,to calibrate the motion capturing system please do a tpose
sample-86.wav,his hands were abraded and exhausted but he listened to his heart
sample-87.wav,the alchemist followed as the boy's horse ran for almost half an hour
sample-88.wav,all this happened between sunrise and sunset the boy thought
sample-89.wav,shall i put a little rum in the coffee
sample-90.wav,to nourish the falcon
sample-91.wav,show me where there is life out in the desert
sample-92.wav,who is this stranger who speaks of omens asked one of the chieftains eyeing the boy
sample-93.wav,help my friend mr richard
sample-94.wav,want to walk to new york
sample-95.wav,dense clouds of smoke or dust can be seen through a powerful telescope
sample-96.wav,i didn't fall in
sample-97.wav,it's late in the evening a perfect time for coffee
sample-98.wav,i only interpret dreams
sample-99.wav,the boss sent me over with it
sample-100.wav,half an hour later his shovel hit something solid
sample-101.wav,the fumes from the traffic was unbearable
sample-102.wav,about eleven i walked back to my home in maybury because nothing seemed to be happening
sample-103.wav,the level ground was blackened as far as one could see and it was still giving off smoke
sample-104.wav,but he decided to take a chance
sample-105.wav,it was immediately apparent
sample-106.wav,i don't understand what you're talking about the desert said
sample-107.wav,the englishman had several suitcases filled with books
sample-108.wav,he sat on a stone and allowed himself to become hypnotized by the horizon
sample-109.wav,it is i the boy answered
sample-110.wav,wish i had a million dollars
sample-111.wav,he still calls his mother 'mummy'
sample-112.wav,it's common to run into problems so read the instructions carefully
sample-113.wav,just handling them made him feel better
sample-114.wav,the boy noticed that the owner of the bar stood nearby listening attentively to their conversation
sample-115.wav,harry'll tear his dinner suit
sample-116.wav,sometime during the second year you'll remember about the treasure
sample-117.wav,you've got his gun
sample-118.wav,his hands were abraded and exhausted but he listened to his heart
sample-119.wav,it's not cheap but it matters a lot
sample-120.wav,we must be good
sample-121.wav,watch over her tonight
sample-122.wav,don't give in to your fears said the alchemist in a strangely gentle voice
sample-123.wav,there's a moon out tonight
sample-124.wav,the boy repeated his question
sample-125.wav,revenge is not my style but obviously accidents will happen
sample-126.wav,you're a week late for school already
sample-127.wav,you wanna take this outside
sample-128.wav,you have told me about your dreams about the old king and your treasure
sample-129.wav,but the boy was quiet
sample-130.wav,revenge is not my style but obviously accidents will happen
sample-131.wav,he heard a muffled grating sound and saw the black mark jerk forward an inch or so
sample-132.wav,from here on you will be alone the alchemist said
sample-133.wav,the burning fire had been extinguished
sample-134.wav,in those days very few of the people had any idea about astronomy
sample-135.wav,sometimes i get so mad at you i can't see straight
sample-136.wav,on our way to san francisco we were listening to reggae music and smoking weed
sample-137.wav,i thought about the difficulties in translation that might arise
sample-138.wav,there was very little talking
sample-139.wav,the two walked out among the palms
sample-140.wav,he had been so far away that his face wasn't even visible
sample-141.wav,they formed heaps that are visible a mile and a half away
sample-142.wav,men have never understood the words of the wise
sample-143.wav,hundreds must have seen it and taken it for a falling star
sample-144.wav,m all about those invisible cosmic connections that transcend time and distance
sample-145.wav,get the bulletin board
sample-146.wav,they were strange books
sample-147.wav,you told me that
sample-148.wav,naturally we have to do something about it
sample-149.wav,make sure you've read my introductory post on voice coding since we will be building upon that
sample-150.wav,he told fatima that at their next meeting
sample-151.wav,everyone seemed very excited
sample-152.wav,maybe the water was too hot
