text,label
@mitchelmusso!!! Tell us your experience! I Loveeeee Youu!,5
im feeling generous ill give you a story as well,2
i feel vulnerable when im alone not only because i feel so incapable of defending myself but also because i could go into labour at any point,4
i just want to warn you that im feeling rather delicate at the moment so dont expect too much from me,2
i set off to drive back to derbyshire on friday afternoon i felt so emotional and suddenly didnt want to leave its a funny feeling being homesick for a place before youre even out of the county borders but it does make going back all the more special,0
i feel totally comfortable without being wealthy and like the feeling to work hardly and a long time for every single wish in my mind that i want to become true,1
i step back in the game day after day even when the odds of success seem out of favor i love on and when i feel nothing but ugly inside she is there to remind me of who i really am and nothing could be prettier than that,0
i am feeling impatient i havent been blogging because each day was pretty similar sleep eat pregnancy pains sleep etc,3
i feel weird if i just do completely nothing,5
@Kirsty_H_99 LOL - Hiya - alls good  Ben has a superb day yesterday by the looks of it - well chuffed,5
i dont like poetry too much because i feel its for whiney dramatic people,0
Can I get a &quot;what?&quot;  &quot;what?&quot;...the baby sent some Twitter messages on my behalf,5
i would be feeling guilty of writing craps on my blog nothing useful nor beneficial to others,0
i am not actively seeking gods heart i feel lethargic directionless and slow when it comes to who i see god as and even more so how i think god sees me,0
i already feel like i fucked up though because i dont usually eat at all in the morning,3
"@duncangela I tried sooooo hard to work from home today, but failed  Not my fault though.",5
i begin this letter in my kitchen in the soft predawn of a winter s morning a cup of tea beside the computer feeling virtuous to be up at this secret hour before light has made the streets mundane,1
im home i can feel how the cold has seeped into my arms and legs,3
@babygirlparis Have a fantastic time in paradise and drink a few Margeritas for me,5
i feel like im caring about my body not in just an attempt to be the right size but to feel good and have a full life,2
i feel like i am punished for having them too,0
"WTF? Advertising gone mad, they want access to my  camera and microphone? What for? Amazon should really know better  http://bit.ly/5FoKQ",5
im already feeling less agitated,3
i have done quite a bit of traveling together and so know how to keep the other laughing when we re feeling defeated or stressed and the addition of audie and mona only multiplied the laughter,0
Everyone MUST watch this...it's Snowball the dancing bird &amp; he will make your day...I promise!  http://tinyurl.com/37wt5f,5
And happy star wars day,2
i will state right now that i feel strongly that someone should be punished for the hurt that was inflicted on him,0
i was feeling a bit annoyed but it didnt really affect me very much,3
i persevered and km later im feeling pretty smug,1
i need instead to focus on feeling that ecstatic feeling to make phone calls without being attached to outcomes amp believe that the money to move will come without wondering exactly how or where or when,1
writing an email to my new host sister,2
i feel i should make is how surprised but entertained i was by the inclusion of so many popular culture and gaming references in the story mode of the game,5
i feel overwhelmed and i want to forget it all,5
i just feel skeptical,4
i feel horrible about all of this,0
i do not however feel in any way hostile to anyone or capable of violence,3
