text,label
i didnt feel humiliated,0
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0
im grabbing a minute to post i feel greedy wrong,3
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2
i am feeling grouchy,3
ive been feeling a little burdened lately wasnt sure why that was,0
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5
i feel as confused about life as a teenager or as jaded as a year old man,4
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1
i feel romantic too,2
i feel like i have to make the suffering i m seeing mean something,0
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1
i think it s the easiest time of year to feel dissatisfied,3
i feel low energy i m just thirsty,0
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1
i do not feel reassured anxiety is on each side,1
i didnt really feel that embarrassed,0
i feel pretty pathetic most of the time,0
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0
i now feel compromised and skeptical of the value of every unit of work i put in,4
i feel irritated and rejected without anyone doing anything or saying anything,3
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4
i have the feeling she was amused and delighted,1
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1
i already feel like i fucked up though because i dont usually eat at all in the morning,3
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0
i become overwhelmed and feel defeated,0
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3
i feel more superior dead chicken or grieving child,1
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1
i remember feeling acutely distressed for a few days,4
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1
i am not sure what would make me feel content if anything,1
i have been feeling the need to be creative,1
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0
i was feeling listless from the need of new things something different,0
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2
on a boat trip to denmark,1
i stopped feeling cold and began feeling hot,3
i need to feel the dough to make sure its just perfect,1
i found myself feeling a little discouraged that morning,0
i feel selfish and spoiled,3
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1
i feel you know basically like a fake in the realm of science fiction,0
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4
i am now nearly finished the week detox and i feel amazing,5
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3
i know the pain parents feel when an enraged child becomes violent,3
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2
i was feeling brave when i bought it and clearly when i was doing my makeup,1
i am feeling miserable but c i am also the proudest mum on earth,0
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0
